eme_type,eme_id,eme_text,synonym_eme,synonym_eme_text,synonym_eme,synonym_eme_text,manual match td
ENTITY,DS11_Gr4_EME115_Ent,accounting,,,,,
ENTITY,DS12_Gr4_EME116_Ent,cook,,,,,
ENTITY,DS61_Gr1_EME01_Ent,customer,,,,,
ENTITY,DS11_Gr3_EME101_Ent,dailyPlan,,,,,
ENTITY,DS21_Gr1_EME02_Ent,foodItem,,,,,
ENTITY,DS41_Gr1_EME03_Ent,ingredient,,,,,
ENTITY,DS52_Gr1_EME04_Ent,invoice,,,,,
ENTITY,DS71_Gr2_EME77_Ent,journal,,,,,
ENTITY,DS11_Gr2_EME76_Ent,meal,,,,,
ENTITY,DS72_Gr1_EME05_Ent,order,,,,,
ENTITY,DS31_Gr1_EME06_Ent,recipe,,,,,
ENTITY,DS51_Gr1_EME07_Ent,setMenu,,,,,
ENTITY,DS41_Gr2_EME75_Ent,shoppingList,DS42_Gr1_EME08_Ent,shoppingTour,,,
ENTITY,DS42_Gr1_EME08_Ent,shoppingTour,DS41_Gr2_EME75_Ent,shoppingList,,,
ENTITY,DS71_Gr1_EME09_Ent,storage,,,,,
ENTITY_ATTRIBUTE,DS99_Gr1_EME9_RelA,(recipe + uses + ingredient).weight,,,,,
ENTITY_ATTRIBUTE,DS61_Gr1_EME10_EntA,customer.accountBalance,,,,,
ENTITY_ATTRIBUTE,DS61_Gr1_EME11_EntA,customer.contactAddress,,,,,
ENTITY_ATTRIBUTE,DS62_Gr1_EME12_EntA,customer.name,,,,,
ENTITY_ATTRIBUTE,DS99_Gr1_EME4_EntA,customer.phoneNumber,,,,,D13
ENTITY_ATTRIBUTE,DS21_Gr4_EME117_EntA,food.calorie,,,,,
ENTITY_ATTRIBUTE,DS12_Gr3_EME102_EntA,food.price,DS21_Gr1_EME15_EntA,foodItem.price,DS21_Gr2_EME78_EntA,foodItem.sellingPrice,
ENTITY_ATTRIBUTE,DS21_Gr1_EME13_EntA,foodItem.canBeOrdered?,,,,,
ENTITY_ATTRIBUTE,DS99_Gr1_EME8_EntA,foodItem.cost,,,,,D51
ENTITY_ATTRIBUTE,DS99_Gr1_EME7_EntA,foodItem.dailyPlan,,,,,D52
ENTITY_ATTRIBUTE,DS21_Gr1_EME14_EntA,foodItem.name,,,,,
ENTITY_ATTRIBUTE,DS21_Gr1_EME15_EntA,foodItem.price,DS12_Gr3_EME102_EntA,food.price,DS21_Gr2_EME78_EntA,foodItem.sellingPrice,
ENTITY_ATTRIBUTE,DS21_Gr2_EME78_EntA,foodItem.sellingPrice,DS12_Gr3_EME102_EntA,food.price,DS21_Gr1_EME15_EntA,foodItem.price,
ENTITY_ATTRIBUTE,DS42_Gr4_EME120_EntA,foodServed.quantity,,,,,
ENTITY_ATTRIBUTE,DS42_Gr2_EME79_EntA,ingredient. unitOfMeasurement,DS41_Gr1_EME17_EntA,ingredient.unit,,,
ENTITY_ATTRIBUTE,DS99_Gr1_EME10_EntA,ingredient.buyer,,,,,D81
ENTITY_ATTRIBUTE,DS31_Gr3_EME104_EntA,ingredient.category,,,,,
ENTITY_ATTRIBUTE,DS99_Gr1_EME11_EntA,ingredient.cost,,,,,D83
ENTITY_ATTRIBUTE,DS31_Gr4_EME118_EntA,ingredient.isUsed,,,,,
ENTITY_ATTRIBUTE,DS41_Gr1_EME16_EntA,ingredient.name,,,,,
ENTITY_ATTRIBUTE,DS41_Gr1_EME17_EntA,ingredient.unit,DS42_Gr2_EME79_EntA,ingredient. unitOfMeasurement,,,
ENTITY_ATTRIBUTE,DS52_Gr1_EME18_EntA,invoice.cook,,,,,
ENTITY_ATTRIBUTE,DS62_Gr1_EME19_EntA,invoice.dateAndNumber,,,,,
