ID,code,description,startTime,filedTime,processTimeInMs,participantId,workerId,group,workshopCode,workshopDate,scenarioCode,modelElementCode,modelElementLabel,defectType,trueDefectCode,trueDefectDescription,trueDefectType,trueDefectSeverity,interpretation
4725,I1733355800W44573984," ",2018-05-23T11:07:00Z,2018-05-23T11:07:33Z,33000,01525340,44573984,A,WS1,2018-05-23,Sc1,DS11_Gr1_EME22_EntA,order.advancePaymentAmountReceived,NO_DEFECT,D21,Entity.Attribute Order.advance_payment: attribute is missing.,MISSING,A,4353
4726,I1733355800W44573976," ",2018-05-23T11:07:31Z,2018-05-23T11:08:27Z,56000,00927346,44573976,A,WS1,2018-05-23,Sc1,DS11_Gr1_EME22_EntA,order.advancePaymentAmountReceived,NO_DEFECT,D21,Entity.Attribute Order.advance_payment: attribute is missing.,MISSING,A,4353
4727,I1733355800W44573996," ",2018-05-23T11:10:57Z,2018-05-23T11:12:17Z,80000,01527915,44573996,A,WS1,2018-05-23,Sc1,DS11_Gr1_EME22_EntA,order.advancePaymentAmountReceived,MISSING,D21,Entity.Attribute Order.advance_payment: attribute is missing.,MISSING,A,4353
4728,I1733355800W44573995," ",2018-05-23T11:11:18Z,2018-05-23T11:12:18Z,60000,1527975,44573995,A,WS1,2018-05-23,Sc1,DS11_Gr1_EME22_EntA,order.advancePaymentAmountReceived,MISSING,D21,Entity.Attribute Order.advance_payment: attribute is missing.,MISSING,A,4353
4729,I1733355800W44573989," ",2018-05-23T11:10:22Z,2018-05-23T11:14:18Z,236000,01054625,44573989,A,WS1,2018-05-23,Sc1,DS11_Gr1_EME22_EntA,order.advancePaymentAmountReceived,WRONG,D21,Entity.Attribute Order.advance_payment: attribute is missing.,MISSING,A,4353
4730,I1733355800W44573987," ",2018-05-23T11:13:58Z,2018-05-23T11:14:50Z,52000,01526186,44573987,A,WS1,2018-05-23,Sc1,DS11_Gr1_EME22_EntA,order.advancePaymentAmountReceived,NO_DEFECT,D21,Entity.Attribute Order.advance_payment: attribute is missing.,MISSING,A,4353
4731,I1733355800W44578774," ",2018-05-25T11:05:33Z,2018-05-25T11:06:07Z,34000,01627750,44578774,A,WS2,2018-05-25,Sc1,DS11_Gr1_EME22_EntA,order.advancePaymentAmountReceived,MISSING,D21,Entity.Attribute Order.advance_payment: attribute is missing.,MISSING,A,4353
4732,I1733355800W44578767," ",2018-05-25T11:07:05Z,2018-05-25T11:07:33Z,28000,1525826,44578767,A,WS2,2018-05-25,Sc1,DS11_Gr1_EME22_EntA,order.advancePaymentAmountReceived,MISSING,D21,Entity.Attribute Order.advance_payment: attribute is missing.,MISSING,A,4353
4733,I1733355800W44578773," ",2018-05-25T11:07:02Z,2018-05-25T11:07:50Z,48000,01633655,44578773,A,WS2,2018-05-25,Sc1,DS11_Gr1_EME22_EntA,order.advancePaymentAmountReceived,MISSING,D21,Entity.Attribute Order.advance_payment: attribute is missing.,MISSING,A,4353
4734,I1733355800W44578769," ",2018-05-25T11:07:23Z,2018-05-25T11:07:57Z,34000,01625724,44578769,A,WS2,2018-05-25,Sc1,DS11_Gr1_EME22_EntA,order.advancePaymentAmountReceived,MISSING,D21,Entity.Attribute Order.advance_payment: attribute is missing.,MISSING,A,4353
