ID,code,description,startTime,filedTime,processTimeInMs,participantId,workerId,group,workshopCode,workshopDate,question_1,question_1_expected,question_1_answer,question_1_correct,question_2,question_2_expected,question_2_answer,question_2_correct,question_3,question_3_expected,question_3_answer,question_3_correct,question_4,question_4_expected,question_4_answer,question_4_correct,question_5,question_5_expected,question_5_answer,question_5_correct,interpretation
4402,ExpSS2018P00927346-QQ,,2018-05-23T09:13:07Z,2018-05-23T09:14:29Z,82000,00927346,44573976,A,WS1,2018-05-23,What is the key of the entity vehicle?,driver,driver,true,How many vehicles can belong to a customer?,1..n,n,false,How many attributes does the entity providedservice have?,3,3,true,What are the names of entities related to seasonticket?,"invoice, providedService","invoice, providedService",true,What is the name of a recursive relationship of the entity customer?,represents,represents,true,4352
4403,ExpSS2018P1227137-QQ,,2018-05-23T09:15:40Z,2018-05-23T09:18:30Z,170000,1227137,44573979,B,WS1,2018-05-23,What is the key of the entity vehicle?,driver,driver,true,How many vehicles can belong to a customer?,1..n,n,false,How many attributes does the entity providedservice have?,3,3,true,What are the names of entities related to seasonticket?,"invoice, providedService","invoice, providedService",true,What is the name of a recursive relationship of the entity customer?,represents,represents,true,4352
4404,ExpSS2018P01501940-QQ,,2018-05-23T09:16:08Z,2018-05-23T09:18:35Z,147000,01501940,44573971,B,WS1,2018-05-23,What is the key of the entity vehicle?,driver,driver,true,How many vehicles can belong to a customer?,1..n,one to many,true,How many attributes does the entity providedservice have?,3,3,true,What are the names of entities related to seasonticket?,"invoice, providedService","invoice, providedService",true,What is the name of a recursive relationship of the entity customer?,represents,represents,true,4352
4405,ExpSS2018P01526013-QQ,,2018-05-23T09:17:00Z,2018-05-23T09:18:39Z,99000,01526013,44573975,B,WS1,2018-05-23,What is the key of the entity vehicle?,driver,driver,true,How many vehicles can belong to a customer?,1..n,1..n,true,How many attributes does the entity providedservice have?,3,3,true,What are the names of entities related to seasonticket?,"invoice, providedService","invoice, providedService",true,What is the name of a recursive relationship of the entity customer?,represents,represents,true,4352
4406,ExpSS2018P01525403-QQ,,2018-05-23T09:15:42Z,2018-05-23T09:19:22Z,220000,01525403,44573980,B,WS1,2018-05-23,What is the key of the entity vehicle?,driver,driver,true,How many vehicles can belong to a customer?,1..n,1..n,true,How many attributes does the entity providedservice have?,3,3,true,What are the names of entities related to seasonticket?,"invoice, providedService",providedService / invoice,true,What is the name of a recursive relationship of the entity customer?,represents,represents,true,4352
4407,ExpSS2018P01525408-QQ,,2018-05-23T09:18:04Z,2018-05-23T09:19:42Z,98000,01525408,44573988,B,WS1,2018-05-23,What is the key of the entity vehicle?,driver,driver,true,How many vehicles can belong to a customer?,1..n,n,false,How many attributes does the entity providedservice have?,3,3,true,What are the names of entities related to seasonticket?,"invoice, providedService","invoice, provided service",false,What is the name of a recursive relationship of the entity customer?,represents,represents,true,4352
4408,ExpSS2018P01228685-QQ,,2018-05-23T09:18:01Z,2018-05-23T09:20:17Z,136000,01228685,44573983,A,WS1,2018-05-23,What is the key of the entity vehicle?,driver,driver,true,How many vehicles can belong to a customer?,1..n,1-n,true,How many attributes does the entity providedservice have?,3,3,true,What are the names of entities related to seasonticket?,"invoice, providedService","invoice, providedservice",true,What is the name of a recursive relationship of the entity customer?,represents,represents,true,4352
4409,ExpSS2018P01525340-QQ,,2018-05-23T09:16:49Z,2018-05-23T09:20:23Z,214000,01525340,44573984,A,WS1,2018-05-23,What is the key of the entity vehicle?,driver,driver,true,How many vehicles can belong to a customer?,1..n,1..n,true,How many attributes does the entity providedservice have?,3,3,true,What are the names of entities related to seasonticket?,"invoice, providedService","providedService, invoice",true,What is the name of a recursive relationship of the entity customer?,represents,represents,true,4352
4410,ExpSS2018P01526186-QQ,,2018-05-23T09:18:07Z,2018-05-23T09:20:38Z,151000,01526186,44573987,A,WS1,2018-05-23,What is the key of the entity vehicle?,driver,driver,true,How many vehicles can belong to a customer?,1..n,one or more than one,true,How many attributes does the entity providedservice have?,3,3,true,What are the names of entities related to seasonticket?,"invoice, providedService","providedService, invoice",true,What is the name of a recursive relationship of the entity customer?,represents,represents,true,4352
4411,ExpSS2018P01417912-QQ,,2018-05-23T09:14:47Z,2018-05-23T09:20:42Z,355000,01417912,44573974,B,WS1,2018-05-23,What is the key of the entity vehicle?,driver,driver,true,How many vehicles can belong to a customer?,1..n,n,false,How many attributes does the entity providedservice have?,3,4,false,What are the names of entities related to seasonticket?,"invoice, providedService","providedService, invoice",true,What is the name of a recursive relationship of the entity customer?,represents,represents,true,4352
